OA11CD,LSOA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E00072563,E01014370,107,1,0,1,0,0,0,0,0,2,3,0,0,0,0,1,1,0,1,0,2,1,2,5,4,8,2,3,3,5,2,0,1,2,6,2,1,1,0,1,0,1,1,0,0,0,1,2,0,0,1,1,0,1,1,1,1,0,0,1,1,2,1,1,1,2,3,1,1,2,2,1,2,1,1,0,1,1,2,0,0,2,0,1,0,0,1,0,0,1,0,3
E00072568,E01014370,131,0,2,0,1,0,0,3,2,0,0,0,0,0,2,0,1,1,0,0,0,3,2,8,5,2,2,2,1,2,3,2,3,0,0,1,2,1,1,0,0,1,1,0,2,1,0,1,2,2,1,3,1,0,0,1,0,0,0,3,1,2,1,1,1,1,0,3,3,2,1,2,2,1,2,2,1,0,0,3,2,2,2,1,0,4,3,3,1,1,2,10
E00072569,E01014370,70,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,5,4,6,2,3,3,2,2,1,1,1,2,2,0,2,1,3,2,1,0,2,1,0,0,0,1,0,0,2,1,2,1,0,1,0,1,0,2,0,1,3,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00072572,E01014370,86,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,1,3,7,8,10,3,5,3,3,3,2,0,2,1,3,2,1,3,2,0,1,1,1,2,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00072573,E01014370,149,1,0,1,2,1,0,5,0,2,0,0,0,1,0,0,3,2,0,0,0,4,6,10,4,8,7,8,2,5,4,3,4,5,4,3,1,0,2,2,1,1,0,2,2,2,3,2,2,0,0,1,1,2,0,1,1,2,0,2,1,4,1,3,0,1,1,2,2,0,0,3,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
E00072574,E01014370,208,0,1,0,0,0,0,2,2,0,0,0,1,0,0,0,0,4,0,0,5,14,11,22,27,16,6,2,4,2,4,3,3,3,1,5,0,1,1,1,0,1,2,2,1,0,1,0,0,2,0,0,1,3,0,2,1,5,0,1,0,0,1,2,1,2,0,0,0,0,1,3,1,2,0,0,0,3,2,3,2,3,0,3,0,2,0,0,2,2,3,7
E00072576,E01014370,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,5,12,12,2,3,1,1,2,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,2,0,2,0,0,0,0,3,0,1,1,0,2,0,1,1,2,0,3,1,2,4
E00072578,E01014370,140,0,0,0,0,0,0,2,2,2,0,0,2,1,0,1,1,0,3,0,0,0,1,2,2,1,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,1,2,0,1,0,0,2,0,0,2,1,1,1,1,0,2,1,2,1,0,3,3,0,1,1,2,4,1,2,2,2,2,1,3,2,4,4,5,3,1,1,3,2,4,2,4,5,29
E00072564,E01014371,115,2,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,2,0,1,0,3,0,2,4,0,2,3,2,1,1,2,2,1,1,1,1,0,0,2,1,0,1,0,0,4,2,1,0,2,1,1,0,1,0,2,2,0,1,0,3,1,1,0,1,1,2,1,2,1,1,2,1,0,0,1,0,3,1,6,4,1,0,0,2,2,3,2,5,5,5
E00072565,E01014371,97,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,2,1,6,4,3,6,1,4,0,2,0,3,4,1,0,1,0,1,0,2,0,0,0,2,3,3,1,1,2,2,3,1,1,0,4,2,0,2,0,0,2,1,0,2,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,2,0,0,0,1,0
E00072567,E01014371,115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,14,11,10,5,3,4,3,4,0,3,3,0,2,0,3,1,1,0,1,1,2,0,0,2,1,0,1,2,2,0,0,1,3,1,0,2,2,0,0,4,2,0,1,0,1,2,1,2,0,1,2,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
E00072570,E01014371,84,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,2,0,0,1,0,1,3,3,0,4,3,1,3,3,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,5,1,2,2,2,2,1,0,0,0,1,0,1,1,2,0,2,0,1,1,1,0,1,2,1,1,1,2,0,0,1,3,1,3,1,1,0,2,1,0,0,1,0,0,2
E00072571,E01014371,98,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,2,0,1,0,4,3,11,6,9,3,2,0,3,1,2,0,1,1,0,2,1,0,1,2,1,1,0,0,0,0,2,2,0,2,1,0,0,2,0,0,1,1,0,1,0,3,0,1,1,1,1,0,1,0,0,4,0,0,0,0,4,0,2,0,0,1,0,1,1,1,0,0,0,0,2
E00072575,E01014371,223,3,3,3,1,2,1,2,1,2,0,1,1,2,0,0,0,0,0,1,2,5,17,14,11,12,10,8,7,4,6,7,5,5,4,3,4,6,2,2,4,2,5,1,5,4,0,1,4,0,2,1,1,1,0,0,3,3,2,1,1,0,2,2,1,2,1,3,0,1,0,0,0,0,0,0,4,2,0,2,1,0,0,1,0,1,1,1,0,0,0,0
E00072581,E01014371,140,1,0,0,0,2,3,2,2,1,0,1,0,1,0,0,1,1,0,0,1,2,5,4,3,4,2,4,3,0,2,3,1,1,5,1,1,1,2,2,1,1,1,0,3,1,1,2,1,2,0,1,2,3,0,0,1,4,2,5,2,3,3,1,2,0,1,0,3,0,1,2,1,2,0,1,2,1,1,1,3,3,0,4,0,3,0,1,0,1,0,5
E00072586,E01014371,121,0,2,0,1,3,0,1,0,0,2,1,0,2,1,1,1,2,0,0,0,0,1,9,2,5,3,4,1,4,1,2,1,2,2,1,1,1,1,0,0,2,3,1,1,2,1,2,4,1,2,0,1,2,2,0,0,0,1,0,4,2,1,1,1,1,0,1,4,0,0,0,0,0,2,1,2,0,3,1,2,0,0,2,0,1,0,2,1,1,1,4
E00072566,E01014372,144,0,0,0,1,1,0,1,1,0,1,0,1,1,2,0,0,0,1,3,2,7,4,15,5,10,3,5,4,2,1,2,3,6,5,3,3,4,2,1,2,2,1,1,1,1,3,1,1,1,0,3,2,1,0,4,1,0,0,1,3,0,3,0,0,2,0,2,1,1,2,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
E00072577,E01014372,121,1,0,0,2,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,7,10,10,10,4,4,8,2,5,4,4,3,1,2,1,2,4,1,1,2,1,2,1,0,0,1,0,1,2,1,3,0,0,2,0,3,0,0,0,2,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
