OA11CD,LSOA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E00072563,E01014370,100,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,3,2,9,4,4,5,1,2,0,3,1,2,1,2,0,3,0,2,1,2,0,2,0,0,1,2,2,5,1,1,0,0,2,0,0,2,2,0,1,1,0,2,0,1,1,0,1,1,2,0,2,1,0,1,1,0,2,0,1,0,0,2,3,0,1,0,0,0,0,0
E00072568,E01014370,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,3,5,3,3,3,1,3,1,2,1,3,1,1,0,1,2,1,0,1,0,1,0,2,0,1,2,3,2,0,0,0,0,0,1,3,0,0,0,2,1,0,1,1,0,0,1,1,1,4,0,2,2,2,0,1,1,0,3,2,2,1,0,1,1,1,0,1,0,1,1
E00072569,E01014370,127,1,0,0,2,1,0,0,0,0,1,1,0,0,0,0,2,0,3,0,0,2,4,8,4,8,2,6,6,3,4,3,2,2,1,9,2,1,2,2,1,1,2,2,0,1,4,1,4,0,2,2,1,1,1,1,1,0,1,2,2,0,1,1,0,1,2,0,0,1,3,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
E00072572,E01014370,98,1,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,1,0,0,0,2,5,13,11,3,2,7,4,2,1,4,3,1,2,2,1,2,2,2,0,0,1,0,3,2,0,0,0,0,0,0,2,0,2,2,0,1,0,0,1,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
E00072573,E01014370,182,3,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,2,4,13,9,11,5,1,10,8,9,1,5,9,5,3,4,2,1,3,1,0,1,0,4,0,1,0,3,0,6,1,3,3,3,0,2,5,3,5,2,4,1,1,3,0,1,2,0,1,2,0,1,1,1,0,0,0,1,2,1,0,0,0,0,0,1,0,1,0,0,0
E00072574,E01014370,223,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,5,9,26,34,31,15,11,9,4,5,2,4,5,0,1,2,2,4,1,0,2,0,1,1,0,1,1,1,0,3,2,0,0,1,0,0,3,1,0,2,1,0,1,0,2,2,0,0,1,2,0,1,2,0,0,2,1,2,1,0,1,2,1,0,2,0,2,0,0,0,0,0
E00072576,E01014370,70,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10,5,15,8,4,2,1,3,1,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
E00072578,E01014370,88,1,0,1,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,2,2,0,2,1,4,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,2,1,1,0,1,2,0,2,0,0,3,0,2,2,1,2,2,2,2,1,2,2,1,1,1,0,1,2,2,1,1,1,1,0,1,1,1,0,3,9
E00072564,E01014371,74,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,2,3,5,4,4,0,1,3,0,2,3,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,2,3,0,0,0,1,1,1,1,0,0,0,0,1,1,2,2,3,1,0,1,0,1,1,0,0,0,1,3,1,1,1,0,0,0,1,1,0,0,1
E00072565,E01014371,94,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,2,4,2,4,6,4,4,3,5,1,3,4,1,1,1,2,2,0,2,1,1,0,1,1,1,2,2,2,0,1,2,1,2,1,1,2,1,1,1,1,0,2,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
E00072567,E01014371,105,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,15,12,4,3,5,6,5,5,3,2,3,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,2,0,0,0,0,2,1,2,0,2,0,0,1,0,2,0,2,2,1,0,1,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0
